"center_code_anon","source_key_type","source_key_value","center_name","ministry","first_year_be","last_year_be","record_count"
"SCH_G3_0136","user_code","7263063412","รร.ตชด.ท่านผู้หญิงทวี มณีนุตร","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0137","user_code","7263063425","รร.ตชด.ศาสตราจารย์สำเภา-ไพวรรณ วรางกูร","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0138","user_code","7263083405","รร.ตชด.บ้านแม่กลองคี","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0139","user_code","7263083407","รร.ตชด.บ้านเลตองคุ","สำนักงานตำรวจแห่งชาติ","2563","2565","3"
"SCH_G3_0140","user_code","7263083408","รร.ตชด.บ้านแม่จันทะ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0141","user_code","7263083411","รร.ตชด.เฉลิมพระเกียรติ 7 รอบฯ (บ้านหม่องกั๊วะ จังหวัดตาก)","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0142","user_code","7263133426","ศกร.ตชด.พระยาประสาทธาตุการย์และคุณหญิงวาส (ประนิช)","สำนักงานตำรวจแห่งชาติ","2563","2566","3"
"SCH_G3_0143","user_code","7265023104","รร.ตชด.อาทรอุทิศ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0144","user_code","7265033102","รร.ตชด.บ้านลาดเรือ","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0145","user_code","7265033106","รร.ตชด.บ้านรักไทย","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0146","user_code","7265033107","รร.ตชด.บ้านนุชเทียน","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0147","user_code","7267023103","รร.ตชด.บ้านโป่งตะแบก","สำนักงานตำรวจแห่งชาติ","2566","2568","3"
"SCH_G3_0148","user_code","7270031306","รร.ตชด.ตะโกปิดทอง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0149","user_code","7270031309","รร.ตชด.บ้านถ้ำหิน","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0150","user_code","7271021305","รร.ตชด.บ้านแม่น้ำน้อย","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0151","user_code","7271021307","รร.ตชด.เฮงเค็ลไทย","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0152","user_code","7271021308","รร.ตชด.ต้นมะม่วง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0153","user_code","7271021313","รร.ตชด.วัดสุธาสินี","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0154","user_code","7271041303","รร.ตชด.มิตรมวลชน 2","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0155","user_code","7271041316","ศูนย์การเรียนตำรวจตระเวนชายแดนปูนอินทรี-มูลนิธิกรุงศรี(บ้านไกรเกรียง)","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0156","user_code","7271071304","รร.ตชด.วิจิตรวิทยาคาร","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0157","user_code","7271071312","รร.ตชด.บ้านปิล๊อกคี่","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0158","user_code","7271071314","ศกร.ตชด.หลวงประกอบนิติสารและท่านผู้หญิงถวิล","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0159","user_code","7271081301","รร.ตชด.สหธนาคารกรุงเทพ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0160","user_code","7271081302","รร.ตชด.สุนทรเวช","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0161","user_code","7271081310","รร.ตชด.บ้านเรดาร์ *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0162","user_code","7271081311","รร.ตชด.บ้านทิไล่ป้า","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0163","user_code","7271081315","ศกร.ตชด.ท่านผู้หญิงมณีรัตน์ บุนนาค","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0164","user_code","7276081405","รร.ตชด.นเรศวรบ้านห้วยโสก","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0165","user_code","7276081406","รร.ตชด.บ้านโป่งลึก *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0166","user_code","7276081412","ศกร.ตชด.อินทรีอาสา","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0167","user_code","7277021403","รร.ตชด.บ้านย่านซื่อ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0168","user_code","7277051411","ศกร.ตชด.บ้านคีรีล้อม","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0169","user_code","7277061401","รร.ตชด.บ้านเขาจ้าว","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0170","user_code","7277061407","รร.ตชด.บ้านท่าวังหิน","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
