"assessment_year_be","assessment_year_ce","record_key","center_code_anon","improvement_items_raw","ImproveScore","Quality_level","target_label","improvement_data_status","indicator_1_1_1","indicator_1_1_2","indicator_1_1_3","indicator_1_2_1","indicator_1_2_2","indicator_1_2_3","indicator_1_2_4","indicator_1_3_1","indicator_1_3_2","indicator_1_3_3","indicator_1_3_4","indicator_1_3_5","indicator_1_3_6","indicator_1_3_7","indicator_1_3_8","indicator_1_4_1","indicator_1_4_2","indicator_1_4_3","indicator_1_4_4","indicator_1_4_5","indicator_1_4_6","indicator_1_4_7","indicator_1_5_1","indicator_1_5_2","indicator_1_5_3","indicator_1_5_4","indicator_2_1_1","indicator_2_1_2","indicator_2_1_3","indicator_2_1_4","indicator_2_1_5","indicator_2_2_1","indicator_2_2_2","indicator_2_2_3","indicator_2_2_4","indicator_2_2_5","indicator_2_3_1","indicator_2_3_2","indicator_2_3_3","indicator_2_3_4","indicator_2_3_5","indicator_2_4_1","indicator_2_4_2","indicator_2_4_3","indicator_2_5_1","indicator_2_5_2","indicator_3_1_1ก","indicator_3_2_1ก","indicator_3_2_2ก","indicator_3_2_3ก","indicator_3_2_4ก","indicator_3_2_5ก","indicator_3_2_6ก","indicator_3_1_1ข","indicator_3_1_2ข","indicator_3_1_3ข","indicator_3_2_1ข","indicator_3_3_1ข","indicator_3_3_2ข","indicator_3_4_1ข","indicator_3_4_2ข","indicator_3_4_3ข","indicator_3_5_1ข","indicator_3_5_2ข","indicator_3_5_3ข","indicator_3_5_4ข","indicator_3_5_5ข","indicator_3_6_1ข","indicator_3_6_2ข","indicator_3_6_3ข","indicator_3_6_4ข","indicator_3_7_1ข","indicator_3_7_2ข","indicator_3_7_3ข","indicator_3_7_4ข"
"2563","2020","2563|7227061206","SCH_G3_0014","","0","A","ผ่าน","empty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7227071209","SCH_G3_0015","","0","A","ผ่าน","empty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7227091202","SCH_G3_0016","1.2.3,1.3.5,1.4.2,1.4.4,3.6.2ข","5","B","ผ่าน","parsed","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2563","2020","2563|7227091203","SCH_G3_0017","1.2.3","1","B","ผ่าน","parsed","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7227091212","SCH_G3_0018","","0","A","ผ่าน","empty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7232052103","SCH_G3_0020","1.2.1,1.3.6,1.3.8","3","B","ผ่าน","parsed","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7232102105","SCH_G3_0022","3.5.2ข,3.5.3ข","2","B","ผ่าน","parsed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7232102106","SCH_G3_0023","","0","A","ผ่าน","empty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7232142101","SCH_G3_0026","","0","A","ผ่าน","empty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2563","2020","2563|7233042210","SCH_G3_0027","","0","A","ผ่าน","empty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
