"indicator_seq","indicator_code","indicator_text","raw_value"
"42","2.4.1","สร้างความสัมพันธ์ที่ดีและมั่นคง ระหว่างผู้ใหญ่กับเด็ก จัดกิจกรรม สร้างเสริมความสัมพันธ์ที่ดีระหว่างเด็กกับเด็ก และการแก้ไข ข้อขัดแย้งอย่างสร้างสรรค์","(42)2.4.1 สร้างความสัมพันธ์ที่ดีและมั่นคง ระหว่างผู้ใหญ่กับเด็ก จัดกิจกรรม สร้างเสริมความสัมพันธ์ที่ดีระหว่างเด็กกับเด็ก และการแก้ไข ข้อขัดแย้งอย่างสร้างสรรค์"
"43","2.4.2","จัดกิจกรรมส่งเสริมให้เด็กมีความสุข แจ่มใส ร่าเริง ได้แสดงออกด้านอารมณ์ ความรู้สึกที่ดีต่อตนเอง โดยผ่านการเคลื่อนไหวร่างกาย ศิลปะ ดนตรี ตามความสนในและความถนัด","(43)2.4.2 จัดกิจกรรมส่งเสริมให้เด็กมีความสุข แจ่มใส ร่าเริง ได้แสดงออกด้านอารมณ์ ความรู้สึกที่ดีต่อตนเอง โดยผ่านการเคลื่อนไหวร่างกาย ศิลปะ ดนตรี ตามความสนในและความถนัด"
"44","2.4.3","จัดกิจกรรมและประสบการณ์ ปลูกฝังคุณธรรมให้เด็กใฝ่ดี มีวินัย ซื่อสัตย์ รู้จักสิทธิและหน้าที่รับผิดชอบของพลเมืองดี รักครอบครัว โรงเรียน ชุมชน และประเทศชาติด้วยวิธีที่เหมาะสมกับวัย และพัฒนาการ","(44)2.4.3 จัดกิจกรรมและประสบการณ์ ปลูกฝังคุณธรรมให้เด็กใฝ่ดี มีวินัย ซื่อสัตย์ รู้จักสิทธิและหน้าที่รับผิดชอบของพลเมืองดี รักครอบครัว โรงเรียน ชุมชน และประเทศชาติด้วยวิธีที่เหมาะสมกับวัย และพัฒนาการ"
"45","2.5.1","จัดกิจกรรมกับผู้ปกครองเพื่อเตรียมเด็กก่อนจากบ้านเข้าสู่สถานพัฒนาเด็กปฐมวัย/โรงเรียน และจัดกิจกรรมช่วงปฐมนิเทศให้เด็กค่อยปรับตัวในบรรยากาศที่เป็นมิตร","(45)2.5.1 จัดกิจกรรมกับผู้ปกครองเพื่อเตรียมเด็กก่อนจากบ้านเข้าสู่สถานพัฒนาเด็กปฐมวัย/โรงเรียน และจัดกิจกรรมช่วงปฐมนิเทศให้เด็กค่อยปรับตัวในบรรยากาศที่เป็นมิตร"
"46","2.5.2","จัดกิจกรรมส่งเสริมการปรับตัวก่อนเข้ารับการศึกษาในระดับที่สูงขึ้น แต่ละขั้น จนถึงการเป็นนักเรียนระดับชั้นประถมศึกษาปีที่ 1","(46)2.5.2 จัดกิจกรรมส่งเสริมการปรับตัวก่อนเข้ารับการศึกษาในระดับที่สูงขึ้น แต่ละขั้น จนถึงการเป็นนักเรียนระดับชั้นประถมศึกษาปีที่ 1"
"47","3.1.1","ก เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล","(47)3.1.1 ก เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล"
"48","3.2.1","ก เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน","(48)3.2.1 ก เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน"
"49","3.2.2","ก รายด้าน: เด็กมีพัฒนาการกล้ามเนื้อมัดใหญ่ (Gross Motor)","(49)3.2.2 ก รายด้าน: เด็กมีพัฒนาการกล้ามเนื้อมัดใหญ่ (Gross Motor)"
"50","3.2.3","ก รายด้าน: เด็กมีพัฒนาการด้านกล้ามเนื้อมัดเล็กและสติปัญญาสมวัย (Fine Motor Adaptive)","(50)3.2.3 ก รายด้าน: เด็กมีพัฒนาการด้านกล้ามเนื้อมัดเล็กและสติปัญญาสมวัย (Fine Motor Adaptive)"
"51","3.2.4","ก รายด้าน: เด็กมีพัฒนาการด้านการรับรู้และเข้าใจภาษา (Receptive Language)","(51)3.2.4 ก รายด้าน: เด็กมีพัฒนาการด้านการรับรู้และเข้าใจภาษา (Receptive Language)"
"52","3.2.5","ก รายด้าน: เด็กมีพัฒนาการการใช้ภาษาสมวัย (Expressive Language)","(52)3.2.5 ก รายด้าน: เด็กมีพัฒนาการการใช้ภาษาสมวัย (Expressive Language)"
"53","3.2.6","ก รายด้าน: เด็กมีพัฒนาการการช่วยเหลือตนเองและการเข้าสังคม (Personal Social)","(53)3.2.6 ก รายด้าน: เด็กมีพัฒนาการการช่วยเหลือตนเองและการเข้าสังคม (Personal Social)"
"54","3.1.1","ข เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล","(54)3.1.1 ข เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล"
"55","3.1.2","ข เด็กมีสุขนิสัยที่ดีในการดูแลสุขภาพตนเองตามวัย","(55)3.1.2 ข เด็กมีสุขนิสัยที่ดีในการดูแลสุขภาพตนเองตามวัย"
"56","3.1.3","ข เด็กมีสุขภาพช่องปากดี ไม่มีฟันผุ","(56)3.1.3 ข เด็กมีสุขภาพช่องปากดี ไม่มีฟันผุ"
"57","3.2.1","ข เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน","(57)3.2.1 ข เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน"
"58","3.3.1","ข เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดใหญ่ สามารถเคลื่อนไหว และทรงตัวได้ตามวัย","(58)3.3.1 ข เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดใหญ่ สามารถเคลื่อนไหว และทรงตัวได้ตามวัย"
"59","3.3.2","ข เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดเล็ก และการประสานงานระหว่างตากับมือตามวัย","(59)3.3.2 ข เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดเล็ก และการประสานงานระหว่างตากับมือตามวัย"
"60","3.4.1","ข เด็กแสดงออก ร่าเริง แจ่มใส รู้สึกมั่นคงปลอดภัย แสดงความรู้สึกที่ดีต่อตนเอง และผู้อื่นได้สมวัย","(60)3.4.1 ข เด็กแสดงออก ร่าเริง แจ่มใส รู้สึกมั่นคงปลอดภัย แสดงความรู้สึกที่ดีต่อตนเอง และผู้อื่นได้สมวัย"
"61","3.4.2","ข เด็กมีความสนใจและร่วมกิจกรรมต่างๆ อย่างสมวัย ซึ่งรวมการเล่น การทำงานศิลปะ ดนตรี กีฬา","(61)3.4.2 ข เด็กมีความสนใจและร่วมกิจกรรมต่างๆ อย่างสมวัย ซึ่งรวมการเล่น การทำงานศิลปะ ดนตรี กีฬา"
"62","3.4.3","ข เด็กสามารถอดทน รอคอย ควบคุมตนเอง ยับยั้งชั่งใจ ทำตามข้อตกลง คำนึงถึงความรู้สึกของผู้อื่น มีกาลเทศะ ปรับตัวเข้ากับสถานการณ์ใหม่ได้สมวัย","(62)3.4.3 ข เด็กสามารถอดทน รอคอย ควบคุมตนเอง ยับยั้งชั่งใจ ทำตามข้อตกลง คำนึงถึงความรู้สึกของผู้อื่น มีกาลเทศะ ปรับตัวเข้ากับสถานการณ์ใหม่ได้สมวัย"
"63","3.5.1","ข เด็กบอกเกี่ยวกับตัวเด็ก บุคคล สถานที่แวดล้อมธรรมชาติ และสิ่งต่างๆ รอบตัวเด็กได้สมวัย","(63)3.5.1 ข เด็กบอกเกี่ยวกับตัวเด็ก บุคคล สถานที่แวดล้อมธรรมชาติ และสิ่งต่างๆ รอบตัวเด็กได้สมวัย"
"64","3.5.2","ข เด็กมีพื้นฐานด้านคณิตศาสตร์ สามารถสังเกต จำแนก และเปรียบเทียบ จำนวน มิติสัมพันธ์ (พื้นที่/ระยะ) เวลา ได้สมวัย","(64)3.5.2 ข เด็กมีพื้นฐานด้านคณิตศาสตร์ สามารถสังเกต จำแนก และเปรียบเทียบ จำนวน มิติสัมพันธ์ (พื้นที่/ระยะ) เวลา ได้สมวัย"
"65","3.5.3","ข เด็กสามารถคิดอย่างมีเหตุผล แก้ปัญหาได้สมวัย","(65)3.5.3 ข เด็กสามารถคิดอย่างมีเหตุผล แก้ปัญหาได้สมวัย"
"66","3.5.4","ข เด็กมีจินตนาการ และความคิดสร้างสรรค์ ที่แสดงออกได้สมวัย","(66)3.5.4 ข เด็กมีจินตนาการ และความคิดสร้างสรรค์ ที่แสดงออกได้สมวัย"
"67","3.5.5","ข เด็กมีความพยายาม มุ่งมั่นตั้งใจ ทำกิจกรรมให้สำเร็จสมวัย","(67)3.5.5 ข เด็กมีความพยายาม มุ่งมั่นตั้งใจ ทำกิจกรรมให้สำเร็จสมวัย"
"68","3.6.1","ข เด็กสามารถฟัง พูด จับใจความ เล่า สนทนา และสื่อสารได้สมวัย","(68)3.6.1 ข เด็กสามารถฟัง พูด จับใจความ เล่า สนทนา และสื่อสารได้สมวัย"
"69","3.6.2","ข เด็กมีทักษะในการดูรูปภาพ สัญลักษณ์ การใช้หนังสือ รู้จักตัวอักษร การคิดเขียนคำ และการอ่านเบื้องต้นได้สมวัยและตามลำดับพัฒนาการ","(69)3.6.2 ข เด็กมีทักษะในการดูรูปภาพ สัญลักษณ์ การใช้หนังสือ รู้จักตัวอักษร การคิดเขียนคำ และการอ่านเบื้องต้นได้สมวัยและตามลำดับพัฒนาการ"
"70","3.6.3","ข เด็กมีทักษะการวาด การขีดเขียนตามลำดับขั้นตอนพัฒนาการสมวัย นำไปสู่การขีดเขียนคำที่คุ้นเคยและสนใจ","(70)3.6.3 ข เด็กมีทักษะการวาด การขีดเขียนตามลำดับขั้นตอนพัฒนาการสมวัย นำไปสู่การขีดเขียนคำที่คุ้นเคยและสนใจ"
"71","3.6.4","ข เด็กมีทักษะในการสื่อสารอย่างเหมาะสมตามวัย โดยใช้ภาษาไทยเป็นภาษาหลัก และมีความคุ้นเคยกับภาษาอื่นด้วย","(71)3.6.4 ข เด็กมีทักษะในการสื่อสารอย่างเหมาะสมตามวัย โดยใช้ภาษาไทยเป็นภาษาหลัก และมีความคุ้นเคยกับภาษาอื่นด้วย"
"72","3.7.1","ข เด็กมีปฏิสัมพันธ์กับผู้อื่นได้อย่างสมวัย และแสดงออกถึงการยอมรับความแตกต่างระหว่างบุคคล","(72)3.7.1 ข เด็กมีปฏิสัมพันธ์กับผู้อื่นได้อย่างสมวัย และแสดงออกถึงการยอมรับความแตกต่างระหว่างบุคคล"
"73","3.7.2","ข เด็กมีความเมตตา กรุณา มีวินัย ซื่อสัตย์ รับผิดชอบต่อตนเองและส่วนรวม และมีค่านิยมที่พึงประสงค์สมวัย","(73)3.7.2 ข เด็กมีความเมตตา กรุณา มีวินัย ซื่อสัตย์ รับผิดชอบต่อตนเองและส่วนรวม และมีค่านิยมที่พึงประสงค์สมวัย"
"74","3.7.3","ข เด็กสามารถเล่นและทำงานร่วมกับผู้อื่นเป็นกลุ่ม เป็นได้ทั้งผู้นำ และผู้ตาม แก้ไขข้อขัดแย้งอย่างสร้างสรรค์","(74)3.7.3 ข เด็กสามารถเล่นและทำงานร่วมกับผู้อื่นเป็นกลุ่ม เป็นได้ทั้งผู้นำ และผู้ตาม แก้ไขข้อขัดแย้งอย่างสร้างสรรค์"
"75","3.7.4","ข เด็กภาคภูมิในที่เป็นสมาชิกที่ดีในครอบครัว ชุมชน สถานพัฒนาเด็กปฐมวัย และตระหนักถึงความเป็นพลเมืองดีของประเทศไทย และภูมิภาคอาเซียน","(75)3.7.4 ข เด็กภาคภูมิในที่เป็นสมาชิกที่ดีในครอบครัว ชุมชน สถานพัฒนาเด็กปฐมวัย และตระหนักถึงความเป็นพลเมืองดีของประเทศไทย และภูมิภาคอาเซียน"
